id,name,partOf,locationType
HEALTH_FACILITY_HOLY_TRINITY,Holy Trinity Health Centre,Location/ATG-BARBUDA-HOLY_TRINITY,HEALTH_FACILITY
HEALTH_FACILITY_SAINT_GEORGE,Saint George Health Centre,Location/ATG-ANTIGUA-SAINT_GEORGE,HEALTH_FACILITY
HEALTH_FACILITY_SAINT_JOHN,Saint John Health Centre,Location/ATG-ANTIGUA-SAINT_JOHN,HEALTH_FACILITY
HEALTH_FACILITY_SAINT_MARY,Saint Mary Health Centre,Location/ATG-ANTIGUA-SAINT_MARY,HEALTH_FACILITY
HEALTH_FACILITY_SAINT_PAUL,Saint Paul Health Centre,Location/ATG-ANTIGUA-SAINT_PAUL,HEALTH_FACILITY
HEALTH_FACILITY_SAINT_PETER,Saint Peter Health Centre,Location/ATG-ANTIGUA-SAINT_PETER,HEALTH_FACILITY
HEALTH_FACILITY_SAINT_PHILIP,Saint Philip Health Centre,Location/ATG-ANTIGUA-SAINT_PHILIP,HEALTH_FACILITY
HOSPITAL_MOUNT_ST_JOHN,Mount St. John's Medical Centre,Location/ATG-ANTIGUA-SAINT_JOHN,HEALTH_FACILITY
HOSPITAL_ADELIN_MEDICAL,Adelin Medical Centre,Location/ATG-ANTIGUA-SAINT_JOHN,HEALTH_FACILITY
HOSPITAL_ANTIGUA_PRIVATE,Antigua Private Hospital,Location/ATG-ANTIGUA-SAINT_JOHN,HEALTH_FACILITY
CLINIC_CLAREVUE,Clarevue Medical Clinic,Location/ATG-ANTIGUA-SAINT_JOHN,HEALTH_FACILITY
CLINIC_POPESHEAD,Popeshead Medical Clinic,Location/ATG-ANTIGUA-SAINT_JOHN,HEALTH_FACILITY
CLINIC_CEDAR_GROVE,Cedar Grove Medical Centre,Location/ATG-ANTIGUA-SAINT_JOHN,HEALTH_FACILITY
CLINIC_GOLDEN_GROVE,Golden Grove Health Clinic,Location/ATG-ANTIGUA-SAINT_JOHN,HEALTH_FACILITY
CLINIC_FIVE_ISLANDS,Five Islands Health Post,Location/ATG-ANTIGUA-SAINT_JOHN,HEALTH_FACILITY
CLINIC_DICKENSON_BAY,Dickenson Bay Medical Clinic,Location/ATG-ANTIGUA-SAINT_JOHN,HEALTH_FACILITY
CLINIC_YORKS,Yorks Community Health Centre,Location/ATG-ANTIGUA-SAINT_GEORGE,HEALTH_FACILITY
CLINIC_FITCHES_CREEK,Fitches Creek Health Post,Location/ATG-ANTIGUA-SAINT_GEORGE,HEALTH_FACILITY
CLINIC_BENDALS,Bendals Health Centre,Location/ATG-ANTIGUA-SAINT_GEORGE,HEALTH_FACILITY
CLINIC_JENNINGS,Jennings Health Post,Location/ATG-ANTIGUA-SAINT_MARY,HEALTH_FACILITY
CLINIC_PARES,Pares Village Health Centre,Location/ATG-ANTIGUA-SAINT_MARY,HEALTH_FACILITY
CLINIC_BOLANS,Bolans Health Post,Location/ATG-ANTIGUA-SAINT_MARY,HEALTH_FACILITY
CLINIC_JOHNSONS_POINT,Johnson's Point Health Centre,Location/ATG-ANTIGUA-SAINT_MARY,HEALTH_FACILITY
CLINIC_SWETES,Swetes Health Post,Location/ATG-ANTIGUA-SAINT_PAUL,HEALTH_FACILITY
CLINIC_LIBERTA,Liberta Health Centre,Location/ATG-ANTIGUA-SAINT_PAUL,HEALTH_FACILITY
CLINIC_FALMOUTH,Falmouth Health Post,Location/ATG-ANTIGUA-SAINT_PAUL,HEALTH_FACILITY
CLINIC_ENGLISH_HARBOUR,English Harbour Health Centre,Location/ATG-ANTIGUA-SAINT_PAUL,HEALTH_FACILITY
CLINIC_PARHAM,Parham Health Centre,Location/ATG-ANTIGUA-SAINT_PETER,HEALTH_FACILITY
CLINIC_BETHESDA,Bethesda Health Post,Location/ATG-ANTIGUA-SAINT_PETER,HEALTH_FACILITY
CLINIC_POTTERS,Potters Village Health Centre,Location/ATG-ANTIGUA-SAINT_PETER,HEALTH_FACILITY
CLINIC_VILLA,Villa Health Post,Location/ATG-ANTIGUA-SAINT_PETER,HEALTH_FACILITY
CLINIC_FREETOWN,Freetown Health Centre,Location/ATG-ANTIGUA-SAINT_PHILIP,HEALTH_FACILITY
CLINIC_WILLOUGHBY_BAY,Willoughby Bay Health Post,Location/ATG-ANTIGUA-SAINT_PHILIP,HEALTH_FACILITY
CLINIC_NONSUCH_BAY,Nonsuch Bay Health Centre,Location/ATG-ANTIGUA-SAINT_PHILIP,HEALTH_FACILITY
CLINIC_SEATONS,Seaton's Health Post,Location/ATG-ANTIGUA-SAINT_PHILIP,HEALTH_FACILITY
CLINIC_BARBUDA_CODRINGTON,Codrington Health Centre,Location/ATG-BARBUDA-HOLY_TRINITY,HEALTH_FACILITY
CLINIC_BARBUDA_HIGHLANDS,Highlands Health Post,Location/ATG-BARBUDA-HOLY_TRINITY,HEALTH_FACILITY
MATERNITY_HOLBERTON,Holberton Hospital Maternity Unit,Location/ATG-ANTIGUA-SAINT_JOHN,HEALTH_FACILITY
EMERGENCY_POLYCLINIC,Emergency Polyclinic,Location/ATG-ANTIGUA-SAINT_JOHN,HEALTH_FACILITY
DENTAL_CLINIC_CENTRAL,Central Dental Clinic,Location/ATG-ANTIGUA-SAINT_JOHN,HEALTH_FACILITY
PHARMACY_CENTRAL,Central Pharmacy,Location/ATG-ANTIGUA-SAINT_JOHN,HEALTH_FACILITY
PHARMACY_WOODS,Woods Pharmacy,Location/ATG-ANTIGUA-SAINT_JOHN,HEALTH_FACILITY
