adminPcode,name,male_population_2007,female_population_2007,population_2007,crude_birth_rate_2007,male_population_2008,female_population_2008,population_2008,crude_birth_rate_2008,male_population_2009,female_population_2009,population_2009,crude_birth_rate_2009,male_population_2010,female_population_2010,population_2010,crude_birth_rate_2010,male_population_2011,female_population_2011,population_2011,crude_birth_rate_2011,male_population_2012,female_population_2012,population_2012,crude_birth_rate_2012,male_population_2013,female_population_2013,population_2013,crude_birth_rate_2013,male_population_2014,female_population_2014,population_2014,crude_birth_rate_2014,male_population_2015,female_population_2015,population_2015,crude_birth_rate_2015,male_population_2016,female_population_2016,population_2016,crude_birth_rate_2016,male_population_2017,female_population_2017,population_2017,crude_birth_rate_2017,male_population_2018,female_population_2018,population_2018,crude_birth_rate_2018,male_population_2019,female_population_2019,population_2019,crude_birth_rate_2019,male_population_2020,female_population_2020,population_2020,crude_birth_rate_2020,male_population_2021,female_population_2021,population_2021,crude_birth_rate_2021,male_population_2022,female_population_2022,population_2022,crude_birth_rate_2022,male_population_2023,female_population_2023,population_2023,crude_birth_rate_2023,male_population_2024,female_population_2024,population_2024,crude_birth_rate_2024,male_population_2025,female_population_2025,population_2025,crude_birth_rate_2025
AWn3s2RqgAN,Central,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,30000,30000,60000,15,40000,40000,80000,20,50000,50000,100000,20,60000,60000,120000,20
KozcEjeTyuD,Sulaka,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,30000,30000,60000,15,40000,40000,80000,20,50000,50000,100000,20,60000,60000,120000,20
B1u1bVtIA92,Pualula,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,30000,30000,60000,15,40000,40000,80000,20,50000,50000,100000,20,60000,60000,120000,20
dbTLdTi7s8F,Chuminga,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,20000,20000,40000,10,30000,30000,60000,15,40000,40000,80000,20,50000,50000,100000,20,60000,60000,120000,20
oEBf29y8JP8,Ibombo,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
HPGiE9Jjh2r,Ilanga,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
BxrIbNW7f3K,Embe,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
SQT8xjbvWwf,Ama,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
ntoX1PkiWri,Isamba,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
SvFNQpplnch,Irundu,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,5000,5000,10000,10,7500,7500,15000,15,10000,10000,20000,20,12500,12500,25000,20,15000,15000,30000,20
